"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_response","correct_response_1","count_Conditioning_1_2","count_MEMO","count_conditions","count_correctanswer","count_counter1_1_1","count_counter2_2_1","count_experiment","count_fixation_cross","count_instructions","count_iti_n_imageposition","count_keepitup","count_logger_dec_2","count_loop","count_new_reset_feedback_1_2","count_response_1","count_sequence","count_stims","counter","datetime","description","disable_garbage_collection","dur","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_MEMO","logfile","mouse_backend","old","opensesame_codename","opensesame_version","pos1","pos2","pp","repeat_cycle","response","response_instructions","response_response_1","response_time","response_time_instructions","response_time_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim1","stim2","subject_nr","subject_parity","t1","time_Conditioning_1_2","time_MEMO","time_conditions","time_correctanswer","time_counter1_1_1","time_counter2_2_1","time_experiment","time_fixation_cross","time_instructions","time_iti_n_imageposition","time_keepitup","time_logger_dec_2","time_loop","time_new_reset_feedback_1_2","time_response_1","time_sequence","time_stims","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","984.9009999888949","984.9009999888949","white","psycho","psycho","psycho","0","uniform","0","undefined","left","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","NA","NA","0","0","0","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","2128.6740193486003","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","0","0","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","256","-256","2","0","right","right","right","984.9009999888949","570.2491999836639","984.9009999888949","2","psycho","1024","2","48000","-16","experiment","hardhat02.jpg","k_kitchen_IMG_3734.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","8935.812799958512","NA","NA","7694.6098000044","8954.52089997707","8104.092399997171","8935.77619997086","12088.74159998959","13600.001999991946","NA","NA","11102.588000008836","8934.479999996256","11102.173199993558","Semantic link","0","984.9009999888949","1","yes","1024"
"0","0","1120.0573999958578","1120.0573999958578","white","psycho","psycho","psycho","0","uniform","0","undefined","left","0","NA","0","0","1","NA","NA","0","1","0","1","1","1","NA","NA","1","1","1","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1906.479881487379","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","1","1","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","256","-256","2","0","right","right","right","1255.2138000028208","570.2491999836639","1255.2138000028208","2","psycho","1024","2","48000","-16","experiment","television.jpg","d_dining_room_indoor_0582.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","13924.921099969652","NA","NA","7694.6098000044","13933.331799984444","8104.092399997171","13924.864900007378","17177.293999993708","18417.651599971578","NA","NA","15921.597099979408","13924.776599975303","15921.05810000794","Semantic link","0","2240.1147999917157","2","yes","1024"
"33.333333333333336","33.333333333333336","1295.0176000013016","1295.0176000013016","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","2","NA","NA","0","2","0","2","2","2","NA","NA","2","2","2","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1777.0775912307722","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","2","2","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","256","-256","2","0","right","right","right","1644.9380000121891","570.2491999836639","1644.9380000121891","2","psycho","1024","2","48000","-16","experiment","webcam.jpg","o_office_despacho.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","18720.012100005988","NA","NA","7694.6098000044","18731.70329997083","8104.092399997171","18719.99059995869","22174.88909995882","23027.054100006353","NA","NA","20529.007799981628","18719.9210000108","20528.55250000721","Semantic link","1","3885.052800003905","3","yes","1024"
"50","50","1262.4790000118082","1262.4790000118082","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","3","NA","NA","0","3","0","3","3","3","NA","NA","3","3","3","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1949.5863566495805","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","3","3","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","-256","256","2","0","right","right","right","1164.863200043328","570.2491999836639","1164.863200043328","2","psycho","1024","2","48000","-16","experiment","rainboot.jpg","courtroomCC.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","23441.69119995786","NA","NA","7694.6098000044","23461.26169996569","8104.092399997171","23441.669499967247","26591.66889998596","27922.876900003757","NA","NA","25425.630999961868","23441.59890001174","25425.449899979867","Semantic link","2","5049.916000047233","4","yes","1024"
"60","60","1297.516080015339","1297.516080015339","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","4","NA","NA","0","4","0","4","4","4","NA","NA","4","4","4","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1731.8280077715249","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","4","4","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","-256","256","2","0","right","right","right","1437.6644000294618","570.2491999836639","1437.6644000294618","2","psycho","1024","2","48000","-16","experiment","treadmill.jpg","c_castle_castle_000001.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","28230.202800012194","NA","NA","7694.6098000044","28239.969299989752","8104.092399997171","28230.18069996033","31426.67730001267","32485.068699985277","NA","NA","29987.611799966544","28230.10639997665","29987.415099982172","Semantic link","3","6487.580400076695","5","yes","1024"
"66.66666666666667","66.66666666666667","1257.7329500054475","1257.7329500054475","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","5","NA","NA","0","5","0","5","5","5","NA","NA","5","5","5","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","2059.933049181218","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","5","5","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","-256","256","2","0","right","right","right","1058.8172999559902","570.2491999836639","1058.8172999559902","2","psycho","1024","2","48000","-16","experiment","bowlingpin.jpg","b_bedroom_pittsburgh_IMG_4079.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","32866.88049999066","NA","NA","7694.6098000044","32886.473999999","8104.092399997171","32866.855299973395","36026.110799983144","37463.08869996574","NA","NA","34966.6864000028","32866.515600006096","34966.2449999596","Semantic link","4","7546.397700032685","6","yes","1024"
"71.42857142857143","71.42857142857143","1216.1406142903227","1216.1406142903227","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","6","NA","NA","0","6","0","6","6","6","NA","NA","6","6","6","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1824.2042703330123","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","6","6","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","-256","256","2","0","right","right","right","966.5865999995731","570.2491999836639","966.5865999995731","2","psycho","1024","2","48000","-16","experiment","trafficlight.jpg","Farm_Kartoffelfeld_SchwedenCC.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","37858.39680000208","NA","NA","7694.6098000044","37881.7617999739","8104.092399997171","37858.37520001223","40696.6839999659","42225.61009996571","NA","NA","39729.58300000755","37858.30399999395","39729.194100014865","Semantic link","5","8512.984300032258","7","yes","1024"
"75","75","1234.9357750063064","1234.9357750063064","white","psycho","psycho","psycho","0","uniform","1","undefined","left","1","NA","0","0","7","NA","NA","0","7","0","7","7","7","NA","NA","7","7","7","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","2362.4350201668235","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","7","7","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","-256","256","2","0","left","right","left","1366.5019000181928","570.2491999836639","1366.5019000181928","2","psycho","1024","2","48000","-16","experiment","tennisracket.jpg","c_castle_castle_000001.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","42620.60640001437","NA","NA","7694.6098000044","42644.48540000012","8104.092399997171","42620.58369995793","46391.061100002844","47520.55909996852","NA","NA","45024.113499966916","42620.50530000124","45023.97509996081","Semantic link","6","9879.48620005045","8","yes","1024"
"77.77777777777777","77.77777777777777","1180.8793222298846","1180.8793222298846","white","psycho","psycho","psycho","0","uniform","1","undefined","right","1","NA","0","0","8","NA","NA","0","8","0","8","8","8","NA","NA","8","8","8","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1859.9652756306148","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","8","8","D:\Users\install\SemLink\quickrun.csv","psycho","1","Lentiform Loewenfeld","3.3.10","256","-256","2","0","right","right","right","748.4277000185102","570.2491999836639","748.4277000185102","2","psycho","1024","2","48000","-16","experiment","downhillski.jpg","mountain-snow-walking-snow-mountain-winter-landscapeCC.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","47872.83519998891","NA","NA","7694.6098000044","47890.48699999694","8104.092399997171","47872.807800013106","50519.61239997763","52266.07209997019","NA","NA","49770.44539997587","47872.74049996631","49769.922200008295","Semantic link","7","10627.913900068961","9","yes","1024"
"80","80","1209.3837000022177","1209.3837000022177","white","psycho","psycho","psycho","0","uniform","1","undefined","left","1","NA","0","0","9","NA","NA","0","9","0","9","9","9","NA","NA","9","9","9","NA","Mon Feb 21 17:44:26 2022","The main experiment item","yes","1941.8494047742456","Memo_alone.osexp","D:\Users\install\SemLink","no","mono","no","18","no","black","no","no","768","psycho","9","9","D:\Users\install\SemLink\quickrun.csv","psycho","0","Lentiform Loewenfeld","3.3.10","-256","256","2","0","left","right","left","1465.9230999532156","570.2491999836639","1465.9230999532156","2","psycho","1024","2","48000","-16","experiment","cookingpot.jpg","l_living_room_living53.jpg","999","odd","You need to indicate whether the pairing is old (seen in the first phase) by pressing RIGHT, or if it is a different configuration by pressing LEFT.<br />In other words, press RIGHT if you recognize the association, and select LEFT if you don't.","NA","8675.519299984444","7694.76179999765","52663.45849999925","NA","NA","7694.6098000044","52685.67380000604","8104.092399997171","52663.43349998351","56116.45520001184","57146.42050000839","NA","NA","54649.90640000906","52663.3611000143","54649.45369999623","Semantic link","8","12093.837000022177","10","yes","1024"
